date,code,name,entry_price,exit_price,qty,profit_loss,profit_loss_pct,exit_reason,entry_time,exit_time,mfe_pct,mae_pct,gap_from_open_pct
20251225,8364,清水銀行,2300.0,2346.0,100,4600.0,2.0,利確,09:36,12:30,2.4783,-0.3478,0.09
20251226,6561,ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,953.0,966.0,400,5200.0,1.3641133263378804,大引け,09:35,15:30,1.6789,-0.4197,0.32
20251229,4112,保土谷化学工業,2173.0,2216.46,100,4346.000000000004,2.0000000000000018,利確,09:30,10:53,2.1629,-0.6443,0.79
20251230,5125,ファインズ,740.0,732.6,500,-3699.9999999999886,-0.9999999999999969,損切り,09:34,09:35,0.9459,-1.0811,0.68
20260105,5125,ファインズ,940.0,930.6,400,-3759.999999999991,-0.9999999999999976,損切り,09:31,09:44,0.6383,-1.383,2.84
20260106,7264,ムロコーポレーション,1400.0,1386.0,200,-2800.0,-1.0,損切り,09:32,09:53,0.5714,-1.3571,1.74
20260107,6266,タツモ,2170.0,2213.4,100,4340.000000000009,2.000000000000004,利確,09:30,10:12,2.1659,-0.553,2.17
20260108,5726,大阪チタニウムテクノロジーズ,2148.0,2190.96,100,4296.000000000004,2.0000000000000018,利確,09:30,09:39,2.0484,-0.2793,1.61
20260109,3927,フーバーブレイン,879.0,896.58,400,7032.000000000016,2.0000000000000044,利確,09:30,10:07,2.0478,-0.3413,2.09
20260113,8001,伊藤忠商事,2051.5,2049.0,100,-250.0,-0.12186205215695832,前場引け,09:32,11:30,0.0731,-0.7068,0.07
20260114,6976,太陽誘電,3545.0,3615.9,100,7090.000000000009,2.0000000000000027,利確,09:31,12:30,3.78,-0.141,1.99
20260115,4935,リベルタ,320.0,326.4,1200,7679.999999999973,1.9999999999999927,利確,09:30,12:42,2.1875,-0.9375,2.56
20260116,5458,高砂鐵工,1168.0,1191.3600000000001,300,7008.000000000038,2.0000000000000107,利確,09:31,09:56,2.3116,-0.6849,1.57
20260119,4360,マナック・ケミカル・パートナーズ,749.0,763.98,500,7490.000000000009,2.0000000000000027,利確,09:31,09:35,2.0027,0.0,1.22
20260120,8255,アクシアル　リテイリング,1198.0,1197.0,300,-300.0,-0.08347245409015025,前場引け,09:33,11:30,0.6678,-0.5008,0.76
20260121,6035,アイ・アールジャパンホールディングス,794.0,786.06,500,-3970.0000000000273,-1.0000000000000069,損切り,09:31,14:01,0.3778,-1.5113,0.25
20260122,6963,ローム,2666.0,2648.5,100,-1750.0,-0.6564141035258815,大引け,09:30,15:30,1.988,-0.6752,1.81
20260123,4425,Ｋｕｄａｎ,1503.0,1487.97,200,-3005.9999999999945,-0.9999999999999981,損切り,09:30,09:39,1.1311,-1.0645,2.45
20260126,1861,熊谷組,1766.0,1761.0,200,-1000.0,-0.28312570781426954,大引け,09:30,15:30,0.906,-0.5096,1.49
20260127,5532,リアルゲイト,2719.0,2691.81,100,-2719.0000000000055,-1.000000000000002,損切り,09:30,11:12,0.4046,-1.0666,0.67
